T506-29	morceau de réception	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-29
T506-32	prix de Rome	prix de peinture de l'académie royale (alt.) – Partie de : oeuvre primée à un concours – Comprend : premier grand prix, prix de Rome de paysage historique, prix de Rome de peinture, second grand prix		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-32
T506-28	grand prix de l'école des beaux-arts de Toulouse	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-28
T506-31	prix de peinture d'après le modèle vivant	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-31
T506-27	concours du génie rural	Partie de : oeuvre primée à un concours		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-27
T506-136	pastiche	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-136
T506-125	interprétation	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-125
T506-128	réduction	Partie de : oeuvre de reproduction – Comprend : réduction mécanique		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-128
T506-130	relevé	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-130
T506-137	retirage	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-137
T506-126	maquette de reproduction	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-126
T506-124	imitation photomécanique	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-124
T506-135	reproduction	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-135
T506-132	réplique	Partie de : oeuvre de reproduction – Comprend : réplique agrandie, réplique réduite		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-132
T506-104	contretype	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-104
T506-131	répétition	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-131
T506-164	réédition	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-164
T506-138	ricordo	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-138
T506-127	moulage d'édition	Partie de : oeuvre de reproduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-127
T506-105	copie	Partie de : oeuvre de reproduction – Comprend : copie d'étude, contre-épreuve, copie interprétée, contrefaçon, agrandissement, copie partielle, copie réduite, copie servile, d'après l'antique		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-105
T506-50	dessin mis aux carreaux	Partie de : dessin pour le report		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-50
T506-59	carton de dentelle	Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-59
T506-64	carton de vitrail	Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-64
T506-110	copie d'étude	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-110
T506-83	projet de décor de théâtre	Partie de : projet de décor éphémère		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-83
T506-82	projet de décor éphémère	Partie de : projet de décor – Comprend : projet de décor de théâtre		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-82
T506-174	projet d'affiche	Partie de : projet d'illustration		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-174
T506-76	projet d'illustration	Partie de : projet – Comprend : projet d'affiche		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-76
T506-108	contre-épreuve	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-108
T506-94	projet de tapisserie	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-94
T506-92	projet de sculpture	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-92
T506-89	projet de papier peint	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-89
T506-75	projet d'architecture	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-75
T506-171	projet de forme	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-171
T506-167	projet de mosaïque	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-167
T506-87	projet de mobilier	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-87
T506-74	modello	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-74
T506-95	projet pour un objet	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-95
T506-166	projet de vitrail	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-166
T506-93	projet de tapis	Partie de : projet		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-93
T506-22	première épreuve	Partie de : épreuve		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-22
T506-35	premier grand prix	1er grand prix (alt.) – Partie de : prix de Rome		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-35
T506-33	prix de Rome de paysage historique	Partie de : prix de Rome		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-33
T506-34	prix de Rome de peinture	Partie de : prix de Rome		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-34
T506-37	second grand prix	2d grand prix (alt.) – Partie de : prix de Rome – Comprend : premier second grand prix		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-37
T506-129	réduction mécanique	Partie de : réduction		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-129
T506-63	carton de tissu	modèle de tissu (alt.) – Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-63
T506-155	oeuvre en rapport			http://data.culture.fr/thesaurus/resource/ark:/67717/T506-155
T506-111	copie interprétée	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-111
T506-23	épreuve unique	Partie de : épreuve		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-23
T506-109	contrefaçon	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-109
T506-52	dessin sur calque	Partie de : dessin pour le report		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-52
T506-49	dessin incisé pour le report	Partie de : dessin pour le report		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-49
T506-106	agrandissement	Partie de : copie – Comprend : agrandissement mécanique		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-106
T506-107	agrandissement mécanique	Partie de : agrandissement		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-107
T506-112	copie partielle	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-112
T506-61	carton de tapisserie	modèle de tapisserie (alt.) – Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-61
T506-7	ensemble homogène	Partie de : décor déposé		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-7
T506-6	ensemble concerté	Partie de : décor déposé		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-6
T506-113	copie réduite	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-113
T506-60	carton de peinture	Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-60
T506-134	réplique agrandie	Partie de : réplique		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-134
T506-67	modèle original	original (alt.) – Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-67
T506-81	projet de décor de céramique	Partie de : projet de décor		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-81
T506-170	projet d'éventail	Partie de : projet de décor		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-170
T506-114	copie servile	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-114
T506-38	premier second grand prix	Partie de : second grand prix		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-38
T506-133	réplique réduite	Partie de : réplique		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-133
T506-115	d'après l'antique	Partie de : copie		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-115
T506-57	carton de broderie	modèle de broderie (alt.) – Partie de : modèle		http://data.culture.fr/thesaurus/resource/ark:/67717/T506-57
73cf62a1-c0b4-4e5e-9f62-9145b92fe7d7	édition revue et augmentée	éd. rev.et augm. (alt.) – Partie de : édition		http://data.culture.fr/thesaurus/resource/ark:/67717/73cf62a1-c0b4-4e5e-9f62-9145b92fe7d7
2b2b0a9a-8d0b-4ee4-939d-2d4899bc0584	objet en rapport			http://data.culture.fr/thesaurus/resource/ark:/67717/2b2b0a9a-8d0b-4ee4-939d-2d4899bc0584
